198.98+72.962i,1245+12.701i
198.77+72.883i,1244.7+12.67i
198.57+72.803i,1244.5+12.64i
198.33+72.704i,1244.2+12.602i
198.13+72.624i,1244+12.571i
197.93+72.545i,1243.7+12.541i
197.72+72.465i,1243.5+12.51i
197.52+72.386i,1243.3+12.48i
197.32+72.307i,1243+12.449i
197.12+72.227i,1242.8+12.419i
196.95+72.168i,1242.6+12.396i
196.75+72.089i,1242.3+12.366i
196.55+72.009i,1242.1+12.335i
196.35+71.93i,1241.9+12.305i
196.15+71.851i,1241.6+12.275i
195.95+71.772i,1241.4+12.244i
195.75+71.692i,1241.1+12.214i
195.58+71.633i,1240.9+12.191i
195.38+71.554i,1240.7+12.161i
195.18+71.475i,1240.4+12.13i
194.98+71.396i,1240.2+12.1i
194.82+71.336i,1240+12.077i
194.62+71.257i,1239.8+12.047i
194.42+71.178i,1239.5+12.017i
194.26+71.119i,1239.3+11.994i
194.06+71.04i,1239.1+11.964i
193.9+70.981i,1238.9+11.941i
193.7+70.902i,1238.6+11.911i
193.51+70.823i,1238.4+11.88i
193.34+70.764i,1238.2+11.858i
193.15+70.685i,1238+11.827i
192.99+70.626i,1237.7+11.805i
192.79+70.547i,1237.5+11.774i
192.63+70.488i,1237.3+11.752i
192.43+70.409i,1237.1+11.721i
192.27+70.35i,1236.9+11.699i
192.11+70.291i,1236.6+11.676i
191.92+70.212i,1236.4+11.646i
191.76+70.153i,1236.2+11.623i
191.6+70.094i,1236+11.601i
191.4+70.015i,1235.8+11.57i
191.25+69.956i,1235.6+11.548i
191.09+69.897i,1235.4+11.525i
190.89+69.819i,1235.1+11.495i
190.73+69.76i,1234.9+11.472i
190.58+69.701i,1234.7+11.45i
190.42+69.642i,1234.5+11.427i
190.26+69.583i,1234.3+11.405i
190.1+69.524i,1234.1+11.382i
189.91+69.446i,1233.9+11.352i
189.75+69.387i,1233.7+11.329i
189.6+69.328i,1233.5+11.307i
189.44+69.269i,1233.2+11.284i
189.28+69.21i,1233+11.262i
189.13+69.151i,1232.8+11.239i
188.97+69.093i,1232.6+11.216i
188.82+69.034i,1232.4+11.194i
188.66+68.975i,1232.2+11.171i
188.5+68.916i,1232+11.149i
188.35+68.857i,1231.8+11.126i
188.19+68.799i,1231.6+11.104i
188.07+68.76i,1231.4+11.089i
187.92+68.701i,1231.2+11.066i
187.77+68.642i,1231+11.044i
187.61+68.583i,1230.8+11.021i
187.46+68.525i,1230.6+10.999i
187.34+68.486i,1230.5+10.984i
187.19+68.427i,1230.3+10.961i
187.03+68.368i,1230.1+10.939i
186.88+68.31i,1229.9+10.916i
186.76+68.271i,1229.7+10.901i
186.61+68.212i,1229.5+10.879i
186.45+68.154i,1229.3+10.856i
186.34+68.114i,1229.1+10.841i
186.19+68.056i,1228.9+10.819i
186.07+68.017i,1228.7+10.804i
185.92+67.958i,1228.5+10.781i
185.8+67.919i,1228.4+10.766i
185.65+67.861i,1228.2+10.744i
185.53+67.822i,1228+10.729i
185.38+67.763i,1227.8+10.706i
185.27+67.724i,1227.6+10.691i
185.11+67.666i,1227.4+10.669i
185+67.627i,1227.2+10.654i
184.85+67.568i,1227+10.632i
184.73+67.529i,1226.9+10.617i
184.62+67.49i,1226.7+10.602i
184.47+67.432i,1226.5+10.579i
184.35+67.393i,1226.3+10.564i
184.24+67.354i,1226.2+10.55i
184.13+67.315i,1226+10.535i
183.97+67.257i,1225.8+10.512i
183.86+67.218i,1225.6+10.497i
183.75+67.179i,1225.4+10.482i
183.63+67.14i,1225.3+10.467i
183.52+67.101i,1225.1+10.452i
183.41+67.062i,1224.9+10.438i
183.26+67.004i,1224.7+10.415i
183.15+66.965i,1224.6+10.4i
183.03+66.926i,1224.4+10.385i
182.92+66.887i,1224.2+10.37i
182.81+66.849i,1224.1+10.356i
182.69+66.81i,1223.9+10.341i
182.58+66.771i,1223.7+10.326i
182.47+66.732i,1223.6+10.311i
182.36+66.693i,1223.4+10.296i
182.24+66.654i,1223.2+10.281i
182.17+66.635i,1223.1+10.274i
182.06+66.596i,1222.9+10.259i
181.94+66.557i,1222.7+10.244i
181.83+66.518i,1222.6+10.229i
181.72+66.48i,1222.4+10.214i
181.61+66.441i,1222.2+10.199i
181.53+66.421i,1222.1+10.192i
181.42+66.383i,1221.9+10.177i
181.31+66.344i,1221.8+10.162i
181.24+66.325i,1221.6+10.154i
181.12+66.286i,1221.4+10.14i
181.01+66.247i,1221.3+10.125i
180.94+66.228i,1221.1+10.117i
180.83+66.189i,1221+10.102i
180.72+66.15i,1220.8+10.088i
180.64+66.131i,1220.7+10.08i
180.53+66.092i,1220.5+10.065i
180.46+66.073i,1220.3+10.058i
180.35+66.034i,1220.2+10.043i
180.27+66.015i,1220+10.036i
180.16+65.976i,1219.9+10.021i
180.09+65.956i,1219.7+10.013i
180.01+65.937i,1219.6+10.006i
179.9+65.898i,1219.4+9.991i
179.83+65.879i,1219.3+9.9836i
179.72+65.84i,1219.1+9.9687i
179.65+65.821i,1219+9.9613i
179.57+65.802i,1218.8+9.9539i
179.5+65.782i,1218.7+9.9465i
179.39+65.744i,1218.5+9.9316i
179.32+65.724i,1218.4+9.9242i
179.24+65.705i,1218.3+9.9168i
179.17+65.686i,1218.1+9.9094i
179.06+65.647i,1217.9+9.8945i
178.99+65.628i,1217.8+9.8871i
178.91+65.608i,1217.7+9.8797i
178.84+65.589i,1217.5+9.8723i
178.77+65.57i,1217.4+9.8649i
178.69+65.55i,1217.2+9.8574i
178.62+65.531i,1217.1+9.85i
178.55+65.512i,1217+9.8426i
178.47+65.492i,1216.8+9.8352i
178.4+65.473i,1216.7+9.8278i
178.33+65.454i,1216.5+9.8204i
178.25+65.434i,1216.4+9.813i
178.18+65.415i,1216.3+9.8055i
178.11+65.396i,1216.1+9.7981i
178.04+65.376i,1216+9.7907i
178+65.376i,1215.9+9.7907i
177.93+65.357i,1215.7+9.7833i
177.86+65.338i,1215.6+9.7759i
177.78+65.318i,1215.5+9.7685i
177.71+65.299i,1215.3+9.7611i
177.67+65.299i,1215.2+9.7611i
177.6+65.28i,1215.1+9.7537i
177.53+65.26i,1214.9+9.7463i
177.49+65.26i,1214.8+9.7463i
177.42+65.241i,1214.7+9.7389i
177.34+65.222i,1214.5+9.7315i
177.31+65.222i,1214.4+9.7315i
177.24+65.203i,1214.3+9.7241i
177.2+65.203i,1214.2+9.7241i
177.13+65.183i,1214+9.7167i
177.09+65.183i,1213.9+9.7167i
177.02+65.164i,1213.8+9.7093i
176.98+65.164i,1213.7+9.7093i
176.91+65.145i,1213.5+9.7018i
176.87+65.145i,1213.4+9.7018i
176.8+65.125i,1213.3+9.6944i
176.76+65.125i,1213.2+9.6944i
176.73+65.125i,1213+9.6944i
176.65+65.106i,1212.9+9.687i
176.62+65.106i,1212.8+9.687i
176.58+65.106i,1212.7+9.687i
176.51+65.087i,1212.5+9.6796i
176.47+65.087i,1212.4+9.6796i
176.44+65.087i,1212.3+9.6796i
176.4+65.087i,1212.2+9.6796i
176.36+65.087i,1212.1+9.6796i
176.29+65.067i,1212+9.6722i
176.26+65.067i,1211.8+9.6722i
176.22+65.067i,1211.7+9.6722i
176.18+65.067i,1211.6+9.6722i
176.15+65.067i,1211.5+9.6722i
176.11+65.067i,1211.4+9.6722i
176.07+65.067i,1211.3+9.6722i
176.04+65.067i,1211.2+9.6722i
176+65.067i,1211+9.6722i
175.97+65.067i,1210.9+9.6722i
175.93+65.067i,1210.8+9.6722i
175.89+65.067i,1210.7+9.6722i
175.86+65.067i,1210.6+9.6722i
175.82+65.067i,1210.5+9.6722i
175.82+65.087i,1210.4+9.6796i
175.78+65.087i,1210.3+9.6796i
175.75+65.087i,1210.2+9.6796i
175.71+65.087i,1210+9.6796i
175.67+65.087i,1209.9+9.6796i
175.67+65.106i,1209.8+9.687i
175.64+65.106i,1209.7+9.687i
175.6+65.106i,1209.6+9.687i
175.6+65.125i,1209.5+9.6944i
175.56+65.125i,1209.4+9.6944i
175.53+65.125i,1209.3+9.6944i
175.53+65.145i,1209.2+9.7018i
175.49+65.145i,1209.1+9.7018i
175.49+65.164i,1209+9.7093i
175.45+65.164i,1208.9+9.7093i
175.45+65.183i,1208.8+9.7167i
175.41+65.183i,1208.7+9.7167i
175.41+65.203i,1208.6+9.7241i
175.38+65.203i,1208.5+9.7241i
